Datetime,Price
9-Apr-19,5216.3
8-Apr-19,5312.5
7-Apr-19,5238.1
6-Apr-19,5090.5
5-Apr-19,5080.4
4-Apr-19,4938.9
3-Apr-19,4978
2-Apr-19,4927.1
1-Apr-19,4196.8
31-Mar-19,4167.6
30-Mar-19,4165.1
29-Mar-19,4179
28-Mar-19,4092.6
27-Mar-19,4102.5
26-Mar-19,3991.7
25-Mar-19,3970
24-Mar-19,4041.4
23-Mar-19,4063.2
22-Mar-19,4045.3
21-Mar-19,4044.8
20-Mar-19,4127.2
19-Mar-19,4104.7
18-Mar-19,4073.5
17-Mar-19,4068.9
16-Mar-19,4088
15-Mar-19,4003.1
14-Mar-19,3948.3
13-Mar-19,3947.9
12-Mar-19,3954.1
11-Mar-19,3949
10-Mar-19,4000
9-Mar-19,4017.3
8-Mar-19,3940.5
7-Mar-19,3964.7
6-Mar-19,3951.4
5-Mar-19,3951.6
4-Mar-19,3800
3-Mar-19,3884.8
2-Mar-19,3913
1-Mar-19,3914
28-Feb-19,3894
27-Feb-19,3902.7
